gemeinde;ort_id;ort
Utzedel;8;Dorotheenhof (Utzedel)
Neustrelitz, Stadt;679;Drewin (Neustrelitz, Stadt)
Nossentiner Hütte;704;Drewitz (Nossentiner Hütte)
Demmin, Hansestadt;310;Drönnewitz (Demmin, Hansestadt)
Wustrow;945;Drosedow (Wustrow)
Malchin, Stadt;322;Duckow (Malchin, Stadt)
Woldegk, Stadt;913;Düppel (Woldegk, Stadt)
Godendorf;77;Düsterförde (Godendorf)
Blumenholz;61;Ehrenhof (Blumenholz)
Friedland, Stadt;374;Eichhorst (Friedland, Stadt)
Klink;116;Eldenburg-Süd (Klink)
Waren (Müritz), Stadt;872;Eldenburg (Waren (Müritz), Stadt)
Waren (Müritz), Stadt;873;Eldenholz (Waren (Müritz), Stadt)
Bütow;93;Erlenkamp (Bütow)
Siedenbrünzow;791;Eugenienberg (Siedenbrünzow)
Eldetal;87;Evchensruh (Eldetal)
Kriesow;535;Fahrenholz (Kriesow)
Faulenrost;325;Faulenrost (Faulenrost)
Kargow;239;Federow (Kargow)
Feldberger Seenlandschaft;339;Feldberg (Feldberger Seenlandschaft)
Fincken;362;Fichtental (Fincken)
Fincken;359;Fincken (Fincken)
Möllenbeck;607;Flatow (Möllenbeck)
Mirow, Stadt;603;Fleether Mühle (Mirow, Stadt)
Mirow, Stadt;604;Fleeth (Mirow, Stadt)
Blumenholz;1007;Försterei Carlshof (Blumenholz)
Wildberg;893;Fouquettin (Wildberg)
Neukalen, Stadt;671;Franzensberg (Neukalen, Stadt)
Möllenhagen;94;Freidorf (Möllenhagen)
Ankershagen;151;Friedrichsfelde (Ankershagen)
Blankensee;57;Friedrichsfelde (Blankensee)
Altentreptow, Stadt;236;Friedrichshof (Altentreptow, Stadt)
Blumenholz;62;Friedrichshof (Blumenholz)
Galenbeck;392;Friedrichshof (Galenbeck)
Kublank;539;Friedrichshof (Kublank)
Melz;85;Friedrichshof (Melz)
Wolde;129;Friedrichshof (Wolde)
Woldegk, Stadt;914;Friedrichshöh (Woldegk, Stadt)
Knorrendorf;526;Friedrichsruh (Knorrendorf)
Kublank;540;Funkenhof (Kublank)
Feldberger Seenlandschaft;346;Fürstenhagen (Feldberger Seenlandschaft)
Neustrelitz, Stadt;678;Fürstensee (Neustrelitz, Stadt)
Lärz;88;Gaarzer Mühle (Lärz)
Knorrendorf;525;Gädebehn (Knorrendorf)
Galenbeck;394;Galenbeck (Galenbeck)
Ritzerow;957;Galenbeck  (Ritzerow)
Sarow;762;Ganschendorf (Sarow)
Brunn;196;Ganzkow (Brunn)
Beggerow;160;Gatschow (Beggerow)
Sarow;758;Gehmkow (Sarow)
Friedland, Stadt;1684;Genzkow (Friedland, Stadt)
Pragsdorf;724;Georgendorf (Pragsdorf)
Carpin;217;Georgenhof (Carpin)
Woldegk, Stadt;924;Georginenau (Woldegk, Stadt)
Basedow;15;Gessin (Basedow)
Blankenhof;166;Gevezin (Blankenhof)
Gielow;400;Gielower Mühle (Gielow)
Gielow;399;Gielow (Gielow)
Alt Schwerin;36;Glashütte (Alt Schwerin)
Dargun, Stadt;230;Glasow (Dargun, Stadt)
Beggerow;159;Glendelin (Beggerow)
Friedland, Stadt;373;Glienke (Friedland, Stadt)
Neverin;699;Glocksin (Neverin)
Altentreptow, Stadt;144;Glückauf (Altentreptow, Stadt)
Südmüritz;565;Gneve (Südmüritz)
Borrentin;179;Gnevezow (Borrentin)
Gnevkow;402;Gnevkow (Gnevkow)
Feldberger Seenlandschaft;355;Gnewitz (Feldberger Seenlandschaft)
Ivenack;491;Goddin (Ivenack)
Godendorf;405;Godendorf (Godendorf)
Burg Stargard, Stadt;202;Godenswege (Burg Stargard, Stadt)
Kargow;238;Godow (Kargow)
Göhren-Lebbin;411;Göhren (Göhren-Lebbin)
Woldegk, Stadt;925;Göhren (Woldegk, Stadt)
Golchen;413;Golchen (Golchen)
Carpin;218;Goldenbaum (Carpin)
Groß Miltzow;441;Golm (Groß Miltzow)
Malchin, Stadt;573;Gorschendorf (Malchin, Stadt)
Gotthun;415;Gotthun (Gotthun)
Klink;519;Grabenitz (Klink)
Eldetal;417;Grabow (Eldetal)
Grabowhöfe;426;Grabowhöfe (Grabowhöfe)
Burg Stargard, Stadt;203;Gramelow (Burg Stargard, Stadt)
Grammentin;427;Grammentin (Grammentin)
Wokuhl-Dabelow;69;Grammertin (Wokuhl-Dabelow)
Kratzeburg;532;Granzin (Kratzeburg)
Mirow, Stadt;39;Granzow (Mirow, Stadt)
Feldberger Seenlandschaft;998;Gräpkenteich (Feldberger Seenlandschaft)
Grapzow;428;Grapzow (Grapzow)
Woldegk, Stadt;927;Grauenhagen (Woldegk, Stadt)
Meesiger;586;Gravelotte (Meesiger)
Grischow;432;Grischow (Grischow)
Ivenack;490;Grischow (Ivenack)
Bartow;155;Groß Below (Bartow)
Woldegk, Stadt;908;Groß Daberkow (Woldegk, Stadt)
Schloen-Dratow;765;Groß Dratow (Schloen-Dratow)
Penzlin, Stadt;270;Groß Flotow (Penzlin, Stadt)
Peenehagen;716;Groß Gievitz (Peenehagen)
Mölln;620;Groß Helle (Mölln)
Groß Kelle;433;Groß Kelle (Groß Kelle)
Penzlin, Stadt;266;Groß Lukow (Penzlin, Stadt)
Dargun, Stadt;224;Groß Methling (Dargun, Stadt)
Groß Miltzow;438;Groß Miltzow (Groß Miltzow)
Groß Nemerow;447;Groß Nemerow (Groß Nemerow)
Groß Plasten;450;Groß Plasten (Groß Plasten)
Userin;834;Groß Quassow (Userin)
Vollrathsruhe;861;Groß Rehberg (Vollrathsruhe)
Blankensee;169;Groß Schönfeld (Blankensee)
Groß Teetzleben;454;Groß Teetzleben (Groß Teetzleben)
Neustrelitz, Stadt;681;Groß Trebbow (Neustrelitz, Stadt)
Möllenhagen;611;Groß Varchow (Möllenhagen)
Penzlin, Stadt;273;Groß Vielen (Penzlin, Stadt)
Grünow;459;Grünow (Grünow)
Wustrow;45;Grünplan (Wustrow)
Fünfseen;384;Grüssow (Fünfseen)
Malchin, Stadt;572;Gülitz (Malchin, Stadt)
Gültz;464;Gültz (Gültz)
Gülzow;466;Gülzow (Gülzow)
Röckwitz;750;Gützkow (Röckwitz)
Malchin, Stadt;570;Hagensruhm (Malchin, Stadt)
Vollrathsruhe;108;Hallalit (Vollrathsruhe)
Wesenberg, Stadt;50;Hartenland (Wesenberg, Stadt)
Klein Vielen;507;Hartwigsdorf (Klein Vielen)
Blankensee;1660;Hasenhof (Blankensee)
Lindenberg;555;Hasseldorf (Lindenberg)
Feldberger Seenlandschaft;356;Hasselförde (Feldberger Seenlandschaft)
Friedland, Stadt;376;Heinrichshöh (Friedland, Stadt)
Friedland, Stadt;370;Heinrichswalde (Friedland, Stadt)
Woldegk, Stadt;907;Helpt (Woldegk, Stadt)
Kratzeburg;1001;Henningsfelde (Kratzeburg)
Gültz;463;Hermannshöhe (Gültz)
Wokuhl-Dabelow;68;Herzwolde (Wokuhl-Dabelow)
Woldegk, Stadt;923;Hildebrandshagen (Woldegk, Stadt)
Sietow;797;Hinrichsberg (Sietow)
Gielow;23;Hinrichsfelde (Gielow)
Peenehagen;707;Hinrichshagen (Peenehagen)
Woldegk, Stadt;929;Hinrichshagen (Woldegk, Stadt)
Eldetal;934;Hinrichshof (Eldetal)
Feldberger Seenlandschaft;351;Hochfeld (Feldberger Seenlandschaft)
Cölpin;221;Hochkamp (Cölpin)
Blankensee;54;Hoffelde (Blankensee)
Hohenbollentin;467;Hohenbollentin (Hohenbollentin)
Hohenmocker;469;Hohenbrünzow (Hohenmocker)
Schönfeld;776;Hohenfelde (Schönfeld)
Neddemin;632;Hohenmin (Neddemin)
Hohenmocker;472;Hohenmocker (Hohenmocker)
Friedland, Stadt;371;Hohenstein (Friedland, Stadt)
Hohen Wangelin;476;Hohen Wangelin (Hohen Wangelin)
